TICKER,DATE,DIRECTION,EARNINGS_D1,ADV_MULT,n_bars,entry,ret_close,mfe_pct,mae_pct,mfe_atr,mae_atr,open_gap_atr,test_atr,reached_d1,beyond_d1_atr,t_mfe,mfe_bucket,win
UNH,2025-05-14,BEARISH,1,6.4333,390,321.45,4.200622180743507,4.461035930937929,0.4635246539119643,1.379987297188057,0.1433878014512009,-0.9690705775930089,0.1433878014512009,True,0.19150451334757673,389,Afternoon,True
PRGO,2025-11-06,BEARISH,1,6.1802,388,15.22,1.9382391590013093,4.9934296977660955,0.0,1.4076680866827185,0.0,-0.22226338210779956,0.0,True,1.0927949620300053,212,Mid-day,True
BRBR,2025-05-07,BEARISH,1,6.0031,390,63.64,1.4456316781898182,3.001257071024519,2.1370207416719036,0.7510813999213541,0.5348014156508059,-0.03539127015336351,0.5348014156508059,True,0.648839952811642,212,Mid-day,True
BRZE,2025-06-09,BEARISH,1,7.8995,388,30.04,-1.9640479360852225,0.03328894806923439,4.194407456724373,0.008463100880160808,1.0663507109004753,-0.26235612728503616,1.0663507109004753,False,0.0,0,Open (0-30m),False
SVV,2025-11-03,BEARISH,1,7.5532,376,9.2,6.793478260869568,7.282608695652174,1.7043478260869622,1.243273334570421,0.29096307292633233,0.018556318426427097,0.29096307292633233,True,1.1133791055854545,352,Afternoon,True
ASAN,2025-06-05,BEARISH,1,8.8827,390,15.06,2.257636122177953,3.4860557768924325,0.33200531208498624,0.7408975444538531,0.07056167090036541,0.07056167090036541,0.07056167090036541,True,0.7973468811741455,351,Afternoon,True
APLS,2025-10-31,BEARISH,1,4.1354,390,21.0,-2.190476190476187,8.333333333333332,3.809047619047624,1.2350035285815102,0.5645024700070578,-0.19054340155257557,0.07057163020465873,True,0.995059985885674,8,Open (0-30m),False
PANW,2025-07-30,BEARISH,0,3.1263,390,180.27,-1.5587729516835847,2.058024074998617,3.2451323015476747,0.7068012954848558,1.1144979996189741,2.5852543341588863,0.1066869879977143,True,3.151076395503904,15,Open (0-30m),False
SNOW,2026-04-10,BEARISH,0,3.3064,390,132.505,8.637409909060034,10.720350175465077,0.30564884343987103,1.7115901341076956,0.04879929632619632,-0.03193040376899092,0.04879929632619632,True,1.551938115262734,314,Afternoon,True
HTGC,2026-02-04,BEARISH,0,3.7156,390,17.45,2.7793696275071555,3.0945558739254966,0.5730659025788047,1.9081272084805625,0.353356890459369,0.21201413427562643,0.353356890459369,True,2.0141342756183755,40,Morning,True
